Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-21 00:00:00+08:00,4.621078994609596,4.663599082193579,4.602080905419517,4.631030559539795,449263050,0.0,0.0
2021-06-22 00:00:00+08:00,4.650028505198029,4.659980069821054,4.623793111133332,4.654551982879639,678314191,0.0,0.0
2021-06-23 00:00:00+08:00,4.660884811954711,4.707023336580788,4.646410200620005,4.6825971603393555,586465223,0.0,0.0
2021-06-24 00:00:00+08:00,4.686216001808378,4.695262958210081,4.663599473569371,4.6943583488464355,217509708,0.0,0.0
2021-06-25 00:00:00+08:00,4.697975740214986,4.784824690525877,4.696166521890549,4.767635822296143,619258662,0.0,0.0
2021-06-28 00:00:00+08:00,4.774873684341807,4.785729858320712,4.755875595570011,4.775778293609619,445496481,0.0,0.0
2021-06-29 00:00:00+08:00,4.775778200484453,4.775778200484453,4.717879326030251,4.726925849914551,290185647,0.0,0.0
2021-06-30 00:00:00+08:00,4.727831066308037,4.764923070006439,4.726926456941696,4.754971504211426,371170976,0.0,0.0
2021-07-01 00:00:00+08:00,4.7703508251153455,4.7803023911167,4.724212726796874,4.753162384033203,564373863,0.0,0.0
2021-07-02 00:00:00+08:00,4.7224028233026685,4.724212473358418,4.623793503494831,4.625602722167969,442235989,0.0,0.0
2021-07-05 00:00:00+08:00,4.625601947114241,4.64279081577677,4.60479464171173,4.631934642791748,257570313,0.0,0.0
2021-07-06 00:00:00+08:00,4.631934821168463,4.640981776131896,4.587605949718803,4.638267517089844,381688734,0.0,0.0
2021-07-07 00:00:00+08:00,4.618365431850038,4.706119008535836,4.61112812575018,4.686215877532959,349465134,0.0,0.0
2021-07-08 00:00:00+08:00,4.694357729410659,4.700690425503181,4.6328395555914295,4.64640998840332,328035047,0.0,0.0
2021-07-09 00:00:00+08:00,4.631935468231092,4.639172774383326,4.5740365876306,4.624698162078857,426231921,0.0,0.0
2021-07-12 00:00:00+08:00,4.659075871812836,4.712451705296039,4.633745084772024,4.686215877532959,596692894,0.0,0.0
2021-07-13 00:00:00+08:00,4.685310618680272,4.71697452947441,4.675359485940947,4.700690269470215,346440364,0.0,0.0
2021-07-14 00:00:00+08:00,4.696166798941554,4.696166798941554,4.639172104534102,4.649123668670654,382469318,0.0,0.0
2021-07-15 00:00:00+08:00,4.641886808774874,4.716974988843544,4.635554112275838,4.710641860961914,355286695,0.0,0.0
2021-07-16 00:00:00+08:00,4.704308970327576,4.708832448035241,4.66088470592869,4.664503574371338,370235145,0.0,0.0
2021-07-19 00:00:00+08:00,4.656361236340245,4.693453235948684,4.619269668114383,4.684406280517578,332046158,0.0,0.0
2021-07-20 00:00:00+08:00,4.6500286113060945,4.685310961539111,4.641886696399469,4.672645568847656,306679327,0.0,0.0
2021-07-21 00:00:00+08:00,4.686215831226938,4.726926270787462,4.678978525198594,4.70792818069458,578430257,0.0,0.0
2021-07-22 00:00:00+08:00,4.708832589425985,4.734163375137387,4.7024998929981345,4.712451457977295,269684073,0.0,0.0
2021-07-23 00:00:00+08:00,4.713355394323854,4.71426000348688,4.654551484901932,4.665407657623291,268144135,0.0,0.0
2021-07-26 00:00:00+08:00,4.647314886464788,4.648219495765286,4.453714260532587,4.507090091705322,915273374,0.0,0.0
2021-07-27 00:00:00+08:00,4.504375955638735,4.52337404379723,4.345153082314196,4.350581169128418,807205216,0.0,0.0
2021-07-28 00:00:00+08:00,4.345153588262702,4.381340550316075,4.283635839048492,4.359628200531006,913347342,0.0,0.0
2021-07-29 00:00:00+08:00,4.432002245517468,4.448286075332822,4.3949102453361775,4.438334941864014,640206355,0.0,0.0
2021-07-30 00:00:00+08:00,4.417527217639017,4.418431826922604,4.361437559613287,4.407576084136963,225870235,0.0,0.0
2021-08-02 00:00:00+08:00,4.393101613022847,4.526993726213583,4.364151955268563,4.51704216003418,375203941,0.0,0.0
2021-08-03 00:00:00+08:00,4.497138411815379,4.540562672643334,4.482663370617699,4.518850326538086,233009764,0.0,0.0
2021-08-04 00:00:00+08:00,4.508900201677787,4.5595617787348255,4.507090551509579,4.558657169342041,248645287,0.0,0.0
2021-08-05 00:00:00+08:00,4.526993505185853,4.575845861531115,4.506185764441688,4.5315165519714355,209871649,0.0,0.0
2021-08-06 00:00:00+08:00,4.523374857225806,4.527898335614866,4.488997111681178,4.51704216003418,112699204,0.0,0.0
2021-08-09 00:00:00+08:00,4.496233983906422,4.58398755809295,4.479950153491166,4.566798686981201,229090628,0.0,0.0
2021-08-10 00:00:00+08:00,4.555942029690918,4.621078638597716,4.525183159364872,4.6183648109436035,324122381,0.0,0.0
2021-08-11 00:00:00+08:00,4.612032306775279,4.635553872952356,4.5912245683651385,4.593938827514648,239129600,0.0,0.0
2021-08-12 00:00:00+08:00,4.577654482075687,4.596652570240486,4.555942134811593,4.56498908996582,133971695,0.0,0.0
2021-08-13 00:00:00+08:00,4.553228499181044,4.583082762237346,4.514327280588852,4.540563106536865,202566401,0.0,0.0
2021-08-16 00:00:00+08:00,4.53513512154009,4.563180166673309,4.524278947205774,4.537848949432373,186203629,0.0,0.0
2021-08-17 00:00:00+08:00,4.53242077609256,4.561369995834914,4.428382953881756,4.436524868011475,352300896,0.0,0.0
2021-08-18 00:00:00+08:00,4.436525483453925,4.510709055636575,4.425669740235887,4.48447322845459,384771032,0.0,0.0
2021-08-19 00:00:00+08:00,4.469094023364317,4.484473244618489,4.43381167147636,4.453714370727539,240311000,0.0,0.0
2021-08-20 00:00:00+08:00,4.443763262641712,4.444667871969854,4.3315835096825515,4.372293949127197,418441340,0.0,0.0
2021-08-23 00:00:00+08:00,4.381340291932185,4.442858037518466,4.378626464060403,4.437430381774902,352961261,0.0,0.0
2021-08-24 00:00:00+08:00,4.441953570754246,4.503471749697015,4.441953570754246,4.48447322845459,317705413,0.0,0.0
2021-08-25 00:00:00+08:00,4.491710889842225,4.498948195659435,4.467284713095019,4.497138977050781,207656406,0.0,0.0
2021-08-26 00:00:00+08:00,4.494424976550671,4.495329585907086,4.405766788882644,4.420241832733154,194840259,0.0,0.0
2021-08-27 00:00:00+08:00,4.413909063423817,4.4727125530694485,4.41119480401649,4.432002544403076,232236414,0.0,0.0
2021-08-30 00:00:00+08:00,4.442858083140145,4.452809648204045,4.3958153798680755,4.415718078613281,215532211,0.0,0.0
2021-08-31 00:00:00+08:00,4.41662278639522,4.430192788961237,4.351486170142697,4.413908958435059,245032607,0.0,0.0
2021-09-01 00:00:00+08:00,4.41481296878942,4.5125176642211295,4.378626012601191,4.477235317230225,386518269,0.0,0.0
2021-09-02 00:00:00+08:00,4.487187078194577,4.494424383473498,4.451000120417408,4.473617076873779,224004834,0.0,0.0
